CONTAINER_NUMBER,VESSEL_NAME,FREIGHT_FORWARDER,PLACE_OF_DISPATCH,PORT_OF_LOADING,PORT_OF_DISCHARGE,POST_PORT_OF_DISCHARGE,PLACE_OF_DISPATCH_DATE,PORT_OF_LOADING_DATE,PORT_OF_DISCHARGE_DATE,POST_PORT_OF_DISCHARGE_DATE,PREDICTED_DELIVERED_DATE,LAST_TRACKED_WITH_VESSEL,DELIVERED_FLAG,DELIVERED_DATE,Another NEW Predicated Delivery Date
OOCU6938156,OOCL TOKYO,,"Los Angeles, California, United States","Long Beach, California, United States","Ningbo, Zhejiang Sheng, China","Taicang, Jiangsu Sheng, China",4/28/2020,5/2/2020,5/23/2020,6/21/2020,6/21/2020,4/21/2021,,,?
CAIU9212419,NYK OCEANUS,,"Osaka, Osaka-fu, Japan","Kobe, Hyogo, Japan","Los Angeles, California, United States","Chicago, Illinois, United States",2/2/2021,2/2/2021,3/19/2021,,4/5/2021,4/21/2021,,,?
PONU1550753,MAERSK JAIPUR,,"Bien Hoa, Tinh GJong Nai, Vietnam","Ho Chi Minh City, Ho Chi Minh City, Vietnam","Meerhout, Flanders, Belgium","Ham, Wallonia, Belgium",2/18/2021,2/21/2021,3/25/2021,,4/11/2021,4/21/2021,,,?
CSNU7631055,CMA CGM T.JEFFERSON,,"Pelabuhan Klang, Selangor, Malaysia","Pelabuhan Klang, Selangor, Malaysia","Los Angeles, California, United States",,1/24/2021,1/28/2021,3/15/2021,,4/1/2021,4/21/2021,,,?
TCNU5573989,JOSEPH SCHULTE,,"Yantian, Guangdong Sheng, China","Yantian, Guangdong Sheng, China","Long Beach, California, United States",,3/16/2021,3/17/2021,5/1/2021,,5/18/2021,5/6/2021,,,?
TGBU9618567,MAERSK ESSEX,,"Xiamen, Fujian Sheng, China","Xiamen, Fujian Sheng, China","Los Angeles, California, United States","Dallas, Texas, United States",4/16/2021,4/17/2021,6/11/2021,6/8/2021,6/28/2021,6/14/2021,,,?
UETU5214310,OOCL TOKYO,Axiom,"Shanghai, Shanghai Shi, China","Shanghai, Shanghai Shi, China","Long Beach, California, United States","Gainesville, Texas, United States",4/25/2021,5/2/2021,5/16/2021,6/14/2021,6/18/2021,7/12/2021,Yes,6/22/2021,?
MOFU5898633,BOMAR HAMBURG,,"Tianjin Xingang, Tianjin Shi, China","Tianjin Xingang, Tianjin Shi, China","Los Angeles, California, United States","Dallas, Texas, United States",3/27/2021,4/3/2021,5/23/2021,6/7/2021,6/11/2021,7/30/2021,Yes,6/8/2021,?
TCKU6298362,CMA CGM PANAMA,LF,"Ho Chi Minh City, Ho Chi Minh City, Vietnam","Vung Tau, Tinh Ba Ria-Vung Tau, Vietnam","Los Angeles, California, United States","Dallas, Texas, United States",4/3/2021,4/10/2021,5/8/2021,5/19/2021,5/23/2021,7/15/2021,Yes,5/25/2021,?
EGHU9476789,ONE MARVEL,Axiom,"Yantian, Guangdong Sheng, China","Yantian, Guangdong Sheng, China","Houston, Texas, United States","Houston, Texas, United States",8/30/2021,8/30/2021,10/7/2021,12/31/1899,10/13/2021,10/9/2021,Yes,10/14/2021,?
DFSU7365977,COSCO ITALY,,"Yantian, Guangdong Sheng, China","Yantian, Guangdong Sheng, China","Long Beach, California, United States","Gainesville, Texas, United States",1/27/2021,1/30/2021,2/15/2021,2/25/2021,3/1/2021,4/21/2021,,,?
OOLU9235127,OOCL UTAH,,"Ningbo, Zhejiang Sheng, China","Ningbo, Zhejiang Sheng, China","Long Beach, California, United States","Gainesville, Texas, United States",3/19/2021,3/22/2021,4/11/2021,5/6/2021,5/10/2021,5/6/2021,,,?
OOCU7862029,X-PRESS KABRU,,"Chattogram, Chittagong, Bangladesh","Chattogram, Chittagong, Bangladesh","Los Angeles, California, United States","Dallas, Texas, United States",3/7/2021,3/6/2021,4/27/2021,5/1/2021,5/1/2021,5/6/2021,,,?
OOCU8396537,OOCL UTAH,Axiom,"Shanghai, Shanghai Shi, China","Shanghai, Shanghai Shi, China","Long Beach, California, United States","Gainesville, Texas, United States",5/2/2021,5/5/2021,5/21/2021,6/18/2021,6/22/2021,7/8/2021,Yes,6/23/2021,?
TEMU8304480,OOCL LUXEMBOURG,,"Dalian, Liaoning Sheng, China","Dalian, Liaoning Sheng, China","Long Beach, California, United States","Long Beach, California, United States",4/7/2020,4/22/2020,5/27/2020,6/11/2020,6/15/2020,4/21/2021,,,?
HLXU6587432,MOL GRATITUDE,,,"New Orleans, Louisiana, United States","Antwerpen, Flanders, Belgium",,3/22/2021,3/22/2021,4/30/2021,,,4/21/2021,,,?
TCNU3048873,CMA CGM CHILE,Axiom,"Dallas, Texas, United States","Los Angeles, California, United States","Westport, Selangor, Malaysia","Westport, Selangor, Malaysia",8/15/2021,8/15/2021,9/8/2021,,9/25/2021,8/11/2021,Yes,7/21/2021,?
OOCU6405835,OOCL NORFOLK,,"Sydney, State of New South Wales, Australia","Sydney, State of New South Wales, Australia","Jakarta, Daerah Khusus Ibukota Jakarta, Indonesia","Jakarta, Daerah Khusus Ibukota Jakarta, Indonesia",3/10/2021,3/18/2021,3/29/2021,3/31/2021,4/15/2021,4/21/2021,,,?
DFSU7433670,OOCL INDONESIA,,"Yantian, Guangdong Sheng, China","Yantian, Guangdong Sheng, China","Kolkata, West Bengal, India","Kolkata, West Bengal, India",5/17/2019,5/18/2019,6/10/2019,6/24/2019,6/28/2019,4/21/2021,,,?
OOCU7076499,OOCL UNITED KINGDOM,,"Xiamen, Fujian Sheng, China","Xiamen, Fujian Sheng, China","Le Havre, Normandie, France","Le Havre, Normandie, France",3/11/2021,3/13/2021,4/15/2021,4/20/2021,4/24/2021,4/21/2021,,,?
MSDU8220193,MSC BERYL,,"Tianjin Xin Gang, Tianjin Shi, China","Tianjin Xin Gang, Tianjin Shi, China","Colombo, Western Province, Sri Lanka","Colombo, Western Province, Sri Lanka",2/25/2021,3/3/2021,4/2/2021,4/12/2021,4/16/2021,4/21/2021,,,?
FCIU9149510,CHANGXIN988,,"Wuhu, Anhui Sheng, China","Wuhu, Anhui Sheng, China","Ho Chi Minh City, Ho Chi Minh City, Vietnam","Ho Chi Minh City, Ho Chi Minh City, Vietnam",9/27/2018,10/1/2018,10/15/2018,10/20/2018,10/24/2018,4/21/2021,,,?
CSNU7784861,NYK ORPHEUS,,"Kobe, Hyogo, Japan","Kobe, Hyogo, Japan","Los Angeles, California, United States","Chicago, Illinois, United States",3/25/2021,4/4/2021,4/28/2021,5/4/2021,5/4/2021,4/21/2021,,,?
HLBU3116874,APL NEW YORK,,,"Antwerpen, Flanders, Belgium","Mombasa, Mombasa District, Kenya","Nairobi, Nairobi Province, Kenya",2/14/2021,2/14/2021,3/28/2021,4/7/2021,4/7/2021,4/21/2021,,,?
OOCU7550083,PORTO,,"Laem Chabang, Changwat Chon Buri, Thailand","Laem Chabang, Changwat Chon Buri, Thailand","Shanghai, Shanghai Shi, China","Shanghai, Shanghai Shi, China",4/26/2021,5/1/2021,5/8/2021,5/9/2021,5/25/2021,4/21/2021,,,?
CSNU6772378,COSCO MALAYSIA,,"Oakland, California, United States","Oakland, California, United States","Shanghai, Shanghai Shi, China","Shanghai, Shanghai Shi, China",3/25/2020,4/1/2020,4/23/2020,6/9/2020,6/9/2020,4/21/2021,,,?
BSIU9425364,CMA CGM CORNEILLE,,"Ningbo, Zhejiang Sheng, China","Ningbo, Zhejiang Sheng, China","Malta Freeport, Birzebbuga, Malta","Malta Freeport, Birzebbuga, Malta",10/25/2020,10/26/2020,11/25/2020,11/26/2020,12/12/2020,4/21/2021,,,?
MRKU5332465,ARNOLD MAERSK,,"Bien Hoa, Tinh GJong Nai, Vietnam","Vung Tau, Tinh Ba Ria-Vung Tau, Vietnam","Savannah, Georgia, United States","Atlanta, Georgia, United States",3/10/2021,3/21/2021,4/28/2021,,5/15/2021,4/21/2021,,,?
OOCU7956200,CSCL JUPITER,,"Xiamen, Fujian Sheng, China","Xiamen, Fujian Sheng, China","Rotterdam, Provincie Zuid-Holland, Netherlands","Rotterdam, Provincie Zuid-Holland, Netherlands",2/23/2021,2/27/2021,4/17/2021,,5/4/2021,4/21/2021,,,?
PONU1307738,MSC JOSSELINE,,"Shanghai, Shanghai Shi, China","Shanghai, Shanghai Shi, China","Long Beach, California, United States","Long Beach, California, United States",2/4/2021,2/10/2021,3/22/2021,,4/8/2021,4/21/2021,,,?
TCLU8756672,HYUNDAI FORCE,,"Portland, Oregon, United States","Seattle, Washington, United States","Kwangyang, Jeollanam-do, South Korea","Kwangyang, Jeollanam-do, South Korea",3/18/2021,4/8/2021,5/5/2021,5/5/2021,5/22/2021,4/21/2021,,,?
OOLU8707785,EVER DIADEM,,"Qingdao, Shandong Sheng, China","Qingdao, Shandong Sheng, China","Mombasa, Mombasa District, Kenya","Mombasa, Mombasa District, Kenya",4/18/2021,4/21/2021,5/23/2021,5/26/2021,6/9/2021,4/21/2021,,,?
TCLU7221296,MSC ISABELLA,,"Yantian, Guangdong Sheng, China","Yantian, Guangdong Sheng, China","Los Angeles, California, United States","Dallas, Texas, United States",1/8/2021,1/10/2021,3/30/2021,4/2/2021,4/16/2021,4/21/2021,,,?
MRKU0662090,MAERSK HANGZHOU,,"Tianjin Xingang, Tianjin Shi, China","Tianjin Xingang, Tianjin Shi, China","Fort Worth, Texas, United States","Fort Worth, Texas, United States",1/31/2021,2/6/2021,4/2/2021,,4/19/2021,4/21/2021,,,?
CAIU4063246,YM WARRANTY,,"Shanghai, Shanghai Shi, China","Shanghai, Shanghai Shi, China","New York City, New York, United States","Boston, Massachusetts, United States",3/20/2021,3/31/2021,5/1/2021,5/6/2021,5/10/2021,4/21/2021,,,?
CSNU7627667,BEIJING,,"Yantian, Guangdong Sheng, China","Yantian, Guangdong Sheng, China","Long Beach, California, United States","Dallas, Texas, United States",12/30/2020,12/31/2020,2/19/2021,2/25/2021,3/1/2021,4/21/2021,,,?
TRHU4554340,ALS MARS,,,"Tianjin Xingang, Tianjin Shi, China","Los Angeles, California, United States",,2/8/2021,2/8/2021,3/27/2021,,,4/21/2021,,,?
TCNU4437530,ONE IBIS,,"Yantian, Guangdong Sheng, China","Yantian, Guangdong Sheng, China","Long Beach, California, United States","Dallas, Texas, United States",3/17/2021,4/1/2021,4/29/2021,5/28/2021,6/1/2021,5/30/2021,Yes,6/3/2021,?
SGCU1981774,CMA CGM NEW JERSEY,Axiom,"Ningbo, Zhejiang Sheng, China","Ningbo, Zhejiang Sheng, China","Los Angeles, California, United States","Dallas, Texas, United States",5/21/2021,5/22/2021,6/9/2021,6/24/2021,6/28/2021,7/15/2021,Yes,7/1/2021,?
OOCU6976027,COSCO SHIPPING DENALI,,"Ho Chi Minh City, Ho Chi Minh City, Vietnam","Cai Mep, Tinh Ba Ria-Vung Tau, Vietnam","Long Beach, California, United States","Dallas, Texas, United States",4/23/2021,4/25/2021,5/15/2021,5/22/2021,5/26/2021,4/21/2021,,,?
CCLU7309098,BEIJING,,"Yantian, Guangdong Sheng, China","Yantian, Guangdong Sheng, China","Long Beach, California, United States","Dallas, Texas, United States",12/30/2020,12/31/2020,2/19/2021,2/24/2021,2/28/2021,4/21/2021,,,?
BMOU5926742,MSC GIANNA,,"Haiphong, Thanh Pho Hai Phong, Vietnam","Haiphong, Thanh Pho Hai Phong, Vietnam","Baltimore, Maryland, United States",,8/12/2021,8/12/2021,11/12/2021,,11/29/2021,10/2/2021,,,?
SEGU6809429,MSC VENICE,,"Yantian, Guangdong Sheng, China","Yantian, Guangdong Sheng, China","Los Angeles, California, United States","Dallas, Texas, United States",3/26/2021,3/27/2021,5/5/2021,,5/22/2021,5/6/2021,,,?
CCLU7055389,CSCL MERCURY,,"Shantou, Guangdong Sheng, China","Shantou, Guangdong Sheng, China","Dammam, Eastern Province, Saudi Arabia",,3/30/2021,3/31/2021,5/4/2021,,5/21/2021,4/21/2021,,,?
OOLU8892322,OOCL SOUTHAMPTON,,"Ningbo, Zhejiang Sheng, China","Ningbo, Zhejiang Sheng, China","Long Beach, California, United States","Dallas, Texas, United States",4/2/2021,4/7/2021,4/25/2021,5/6/2021,5/10/2021,5/6/2021,,,?
ONEU0084800,ONE MODERN,GWW,"Yantian, Guangdong Sheng, China","Yantian, Guangdong Sheng, China","Houston, Texas, United States","Houston, Texas, United States",7/10/2021,8/3/2021,9/5/2021,12/31/1899,9/10/2021,9/6/2021,Yes,9/10/2021,?
OOCU7025655,EVER URBAN,,"Qingdao, Shandong Sheng, China","Qingdao, Shandong Sheng, China","Santos, Sao Paulo, Brazil","Santos, Sao Paulo, Brazil",4/18/2021,4/21/2021,6/4/2021,6/5/2021,6/21/2021,4/21/2021,,,?
OOLU7604416,CMA CGM LOUVRE,,"Rotterdam, Provincie Zuid-Holland, Netherlands","Rotterdam, Provincie Zuid-Holland, Netherlands","Busan, Busan, South Korea","Busan, Busan, South Korea",2/1/2021,2/19/2021,3/29/2021,4/1/2021,4/15/2021,4/21/2021,,,?
OOLU4363655,OOCL LONDON,,"Ningbo, Zhejiang Sheng, China","Ningbo, Zhejiang Sheng, China","Long Beach, California, United States","Kansas City, Kansas, United States",3/26/2021,4/4/2021,4/20/2021,4/28/2021,5/2/2021,4/21/2021,,,?
CXDU1125030,CMA CGM LISA MARIE,,"Ningbo, Zhejiang Sheng, China","Ningbo, Zhejiang Sheng, China","Santo Domingo, Distrito Nacional, Dominican Republic","Santo Domingo, Distrito Nacional, Dominican Republic",12/25/2018,12/25/2018,2/10/2019,2/15/2019,2/19/2019,4/21/2021,,,?
OOLU8501161,OOCL SOUTHAMPTON,,"Dallas, Texas, United States","Long Beach, California, United States","Shanghai, Shanghai Shi, China","Shanghai, Shanghai Shi, China",4/12/2021,4/27/2021,5/16/2021,5/17/2021,6/2/2021,4/21/2021,,,?
TCNU1787787,CAP JACKSON,,,"Valencia, Comunitat Valenciana, Spain","Callao, Callao, Peru","Callao, Callao, Peru",2/23/2021,2/23/2021,4/2/2021,4/13/2021,4/13/2021,4/21/2021,,,?
OOCU7036916,OOCL CANADA,,"Ningbo, Zhejiang Sheng, China","Ningbo, Zhejiang Sheng, China","Melbourne, State of Victoria, Australia","Melbourne, State of Victoria, Australia",3/12/2021,3/30/2021,4/19/2021,,5/6/2021,4/21/2021,,,?
OOCU7571403,CMA CGM G.WASHINGTON,,"Chicago, Illinois, United States","Los Angeles, California, United States","Fuqing, Fujian Sheng, China","Fuqing, Fujian Sheng, China",10/31/2019,11/14/2019,12/3/2019,12/28/2019,12/28/2019,4/21/2021,,,?
CAIU9156146,APL QINGDAO,,"Gwangyang, Jeollanam-do, South Korea","Gwangyang, Jeollanam-do, South Korea","Fos-sur-Mer, Provence-Alpes-Cote d'Azur, France",,3/5/2021,3/18/2021,5/12/2021,,5/29/2021,4/21/2021,,,?
OOLU8592270,CSCL AUTUMN,,"Tianjin Xingang, Tianjin Shi, China","Tianjin Xingang, Tianjin Shi, China","Long Beach, California, United States","Long Beach, California, United States",3/26/2021,3/31/2021,5/2/2021,5/9/2021,5/13/2021,4/21/2021,,,?
GLDU7707362,MSC ISABELLA,,"Yantian, Guangdong Sheng, China","Yantian, Guangdong Sheng, China","Los Angeles, California, United States","Dallas, Texas, United States",1/8/2021,1/8/2021,3/16/2021,3/18/2021,4/2/2021,4/21/2021,,,?
OOCU7607738,BRUSSELS,,"Houston, Texas, United States","Houston, Texas, United States","Le Havre, Normandie, France","Le Havre, Normandie, France",1/22/2021,1/29/2021,2/13/2021,2/16/2021,3/2/2021,4/21/2021,,,?
KKTU7770731,GUANG PING,,"Kolkata, West Bengal, India","Kolkata, West Bengal, India","Haiphong, Thanh Pho Hai Phong, Vietnam","Haiphong, Thanh Pho Hai Phong, Vietnam",3/8/2021,3/28/2021,4/14/2021,4/16/2021,5/1/2021,4/21/2021,,,?
CAIU8476905,OOCL TAIPEI,,"Shanghai, Shanghai Shi, China","Shanghai, Shanghai Shi, China","Long Beach, California, United States","Dallas, Texas, United States",3/7/2021,3/15/2021,4/2/2021,4/7/2021,4/11/2021,4/21/2021,,,?
BSIU8034468,EVER LUCKY,,"Ho Chi Minh City, Ho Chi Minh City, Vietnam","Ho Chi Minh City, Ho Chi Minh City, Vietnam","Los Angeles, California, United States","Dallas, Texas, United States",3/11/2021,3/11/2021,5/4/2021,,5/21/2021,4/21/2021,,,?
CAIU8550469,SEASPAN ADONIS,,,"Qingdao Shi, Shandong Sheng, China","Los Angeles, California, United States",,3/18/2021,3/18/2021,4/7/2021,,,4/21/2021,,,?
CSNU6298103,,Axiom,"Shanghai, Shanghai Shi, China","Shanghai, Shanghai Shi, China","Long Beach, California, United States","Dallas, Texas, United States",4/17/2021,4/17/2021,5/5/2021,,5/22/2021,6/11/2021,Yes,6/10/2021,?
FSCU8759712,OOCL KAOHSIUNG,,"Omaha, Nebraska, United States","Seattle, Washington, United States","Kaohsiung, Kaohsiung, Taiwan","Kaohsiung, Kaohsiung, Taiwan",11/25/2020,12/10/2020,1/3/2021,1/15/2021,1/15/2021,4/21/2021,,,?
NYKU4971908,HYUNDAI AMBITION,,"Portsmouth, Virginia, United States","Norfolk, Virginia, United States","Iyomishima, Ehime, Japan","Iyomishima, Ehime, Japan",3/26/2021,4/12/2021,5/13/2021,5/17/2021,5/17/2021,4/21/2021,,,?
EITU1370940,,Axiom,,,,"Dallas, Texas, United States",,,,6/29/2021,6/29/2021,7/5/2021,Yes,7/7/2021,?
HAMU1209659,HANOVER EXPRESS,,,"Ningbo, Zhejiang Sheng, China","Los Angeles, California, United States",,3/26/2021,3/26/2021,5/1/2021,,,5/6/2021,,,?
CAXU9856922,MSC AURIGA,LF,"Thuan An, Tinh Quang Nam, Vietnam","Ho Chi Minh City, Ho Chi Minh City, Vietnam","Long Beach, California, United States","Dallas, Texas, United States",5/27/2021,5/28/2021,7/23/2021,7/21/2021,8/9/2021,7/26/2021,Yes,7/27/2021,?
OOCU7967652,MOL EARNEST,,"Ningbo, Zhejiang Sheng, China","Ningbo, Zhejiang Sheng, China","Dar es Salaam, Dar es Salaam Region, Tanzania","Dar es Salaam, Dar es Salaam Region, Tanzania",3/19/2021,3/23/2021,4/29/2021,4/30/2021,5/16/2021,4/21/2021,,,?
ECMU4702548,BOSTON TRADER,,"Casablanca, Casablanca-Settat, Morocco","Casablanca, Casablanca-Settat, Morocco","Abidjan, Abidjan, Ivory Coast","Abidjan, Abidjan, Ivory Coast",2/4/2021,2/4/2021,2/28/2021,3/3/2021,3/17/2021,4/21/2021,,,?
HMCU9172084,,,,,,,,,,,,7/30/2021,,,?
OOLU8311428,CMA CGM CORTE REAL,,"Los Angeles, California, United States","Los Angeles, California, United States","Fremantle, State of Western Australia, Australia","Fremantle, State of Western Australia, Australia",2/12/2021,2/23/2021,4/21/2021,4/21/2021,5/8/2021,4/21/2021,,,?
BMOU5447842,,Axiom,,,,,,,,,,7/15/2021,,,?
OOLU8649159,LIOBA,,"Ho Chi Minh City, Ho Chi Minh City, Vietnam","Ho Chi Minh City, Ho Chi Minh City, Vietnam","Incheon, Incheon, South Korea","Incheon, Incheon, South Korea",10/20/2020,10/21/2020,10/29/2020,11/10/2020,11/14/2020,4/21/2021,,,?
FSCU9359644,MEKONG 8,,"Phnom Penh, Phnom Penh, Cambodia","Phnom Penh, Phnom Penh, Cambodia","Long Beach, California, United States","Long Beach, California, United States",11/1/2019,11/1/2019,12/9/2019,1/21/2020,1/21/2020,4/21/2021,,,?
OOLU6855931,COSCO ITALY,,"Long Beach, California, United States","Long Beach, California, United States","Ho Chi Minh City, Ho Chi Minh City, Vietnam","Ho Chi Minh City, Ho Chi Minh City, Vietnam",4/5/2021,4/13/2021,5/5/2021,5/6/2021,5/22/2021,4/21/2021,,,?
OOLU8289941,CSCL SPRING,,"Dallas, Texas, United States","Long Beach, California, United States","Qingdao, Shandong Sheng, China","Qingdao, Shandong Sheng, China",3/17/2021,4/10/2021,4/27/2021,4/28/2021,5/14/2021,4/21/2021,,,?
OOCU7488808,CMA CGM G.WASHINGTON,,"Los Angeles, California, United States","Los Angeles, California, United States","Kiamari, Sindh, Pakistan","Kiamari, Sindh, Pakistan",4/6/2021,4/16/2021,5/21/2021,5/22/2021,6/7/2021,4/21/2021,,,?
HASU4442434,CMA CGM JASPER,,"Abidjan, Abidjan, Ivory Coast","Abidjan, Abidjan, Ivory Coast","Ho Chi Minh City, Ho Chi Minh City, Vietnam","Ho Chi Minh City, Ho Chi Minh City, Vietnam",4/6/2021,4/6/2021,5/26/2021,,6/12/2021,4/21/2021,,,?
MRKU0462717,DELPHIS RIGA,,"Valencia, Comunitat Valenciana, Spain","Valencia, Comunitat Valenciana, Spain","Casablanca, Casablanca-Settat, Morocco","Casablanca, Casablanca-Settat, Morocco",3/4/2021,3/5/2021,3/27/2021,,4/13/2021,4/21/2021,,,?
MRKU4558247,MAERSK ENSENADA,,"Shanghai, Shanghai Shi, China","Shanghai, Shanghai Shi, China","Fort Worth, Texas, United States","Fort Worth, Texas, United States",12/24/2020,12/25/2020,2/21/2021,,3/10/2021,4/21/2021,,,?
CSNU6414841,ASIAN TRADER,,"Colon, Provincia de Colon, Panama","Colon, Provincia de Colon, Panama","Barranquilla, Departamento del Atlantico, Colombia","Barranquilla, Departamento del Atlantico, Colombia",10/28/2019,10/30/2019,11/5/2019,11/20/2019,11/20/2019,4/21/2021,,,?
OOLU8824101,OOCL SOUTHAMPTON,,"Shanghai, Shanghai Shi, China","Shanghai, Shanghai Shi, China","Long Beach, California, United States","Dallas, Texas, United States",4/4/2021,4/11/2021,4/24/2021,5/6/2021,5/10/2021,5/6/2021,,,?
TCLU7925470,EVER LUCKY,,"Ho Chi Minh City, Ho Chi Minh City, Vietnam","Ho Chi Minh City, Ho Chi Minh City, Vietnam","Los Angeles, California, United States","Dallas, Texas, United States",3/11/2021,3/11/2021,5/8/2021,,5/25/2021,4/21/2021,,,?
TCKU7896501,XIN SU ZHOU,,"Nanjing, Jiangsu Sheng, China","Nanjing, Jiangsu Sheng, China","Manzanillo, Estado de Colima, Mexico",,3/23/2021,3/26/2021,5/12/2021,,5/29/2021,4/21/2021,,,?
OOCU7083456,ANL GIPPSLAND,,"Shanghai, Shanghai Shi, China","Shanghai, Shanghai Shi, China","Sydney, State of New South Wales, Australia","Sydney, State of New South Wales, Australia",11/21/2019,11/22/2019,12/6/2019,12/9/2019,12/23/2019,4/21/2021,,,?
OOLU9571380,OOCL LONDON,,"Ningbo, Zhejiang Sheng, China","Ningbo, Zhejiang Sheng, China","Long Beach, California, United States","Long Beach, California, United States",3/26/2021,4/4/2021,4/20/2021,,5/7/2021,4/21/2021,,,?
CSNU7215042,COSCO SHIPPING NEBULA,,"Hamburg, Free and Hanseatic City of Hamburg, Germany","Hamburg, Free and Hanseatic City of Hamburg, Germany","Shanghai, Shanghai Shi, China","Shanghai, Shanghai Shi, China",4/26/2019,4/30/2019,6/6/2019,6/15/2019,6/15/2019,4/21/2021,,,?
PONU1352510,MSC BARI,,"Ningbo, Zhejiang Sheng, China","Ningbo, Zhejiang Sheng, China","Felixstowe, England, United Kingdom","Felixstowe, England, United Kingdom",3/26/2021,3/30/2021,5/8/2021,,5/25/2021,4/21/2021,,,?
OOLU8837156,WAN HAI 501,,"Yokohama, Kanagawa, Japan","Yokohama, Kanagawa, Japan","Singapore, , Singapore","Singapore, , Singapore",4/2/2021,4/4/2021,4/12/2021,4/14/2021,4/29/2021,4/21/2021,,,?
MOFU6834340,HYUNDAI GLOBAL,,"Shanghai, Shanghai Shi, China","Shanghai, Shanghai Shi, China","Los Angeles, California, United States","Chicago, Illinois, United States",1/11/2021,1/17/2021,2/18/2021,3/9/2021,3/13/2021,4/21/2021,,,?
HLBU2791570,EGY CROWN,,,"Latakia, , Syria","Rotterdam, Provincie Zuid-Holland, Netherlands",,4/3/2021,4/3/2021,4/26/2021,,,4/21/2021,,,?
TEMU6986143,COSCO SHIPPING LEO,,"Qingdao, Shandong Sheng, China","Qingdao, Shandong Sheng, China","Lome, Maritime, Togo","Lome, Maritime, Togo",8/15/2020,8/17/2020,10/7/2020,11/1/2020,11/5/2020,4/21/2021,,,?
CCLU7093239,CMA CGM CASSIOPEIA,,"Beirut, Beyrouth, Lebanon","Beirut, Beyrouth, Lebanon","Dammam, Eastern Province, Saudi Arabia","Dammam, Eastern Province, Saudi Arabia",4/9/2020,4/14/2020,5/11/2020,5/28/2020,5/28/2020,4/21/2021,,,?
OOCU8066577,CSCL INDIAN OCEAN,,"Jebel Ali, Dubai, United Arab Emirates","Jebel Ali, Dubai, United Arab Emirates","Mombasa, Mombasa District, Kenya","Mombasa, Mombasa District, Kenya",3/31/2021,4/3/2021,5/3/2021,5/3/2021,5/20/2021,4/21/2021,,,?
OOLU6858020,DELPHIS GDANSK,,"Xiaolan, Guangdong Sheng, China","Hong Kong, Central and Western District, Hong Kong","Saint Petersburg, Sankt-Peterburg, Russia","Saint Petersburg, Sankt-Peterburg, Russia",4/30/2021,5/2/2021,6/16/2021,6/18/2021,7/3/2021,4/21/2021,,,?
CSLU6170096,BEIJING,,"Yantian, Guangdong Sheng, China","Yantian, Guangdong Sheng, China","Long Beach, California, United States","Dallas, Texas, United States",12/30/2020,12/31/2020,2/19/2021,2/25/2021,3/1/2021,4/21/2021,,,?
TRHU5767268,EVER LOYAL,Axiom,"Dallas, Texas, United States","Los Angeles, California, United States","Ningbo, Zhejiang Sheng, China","Ningbo, Zhejiang Sheng, China",7/27/2021,7/27/2021,8/15/2021,,9/1/2021,7/22/2021,Yes,7/8/2021,?
CMAU5513778,APL DUBLIN,,"Memphis, Tennessee, United States","Charleston, South Carolina, United States","Pelabuhan Klang, Selangor, Malaysia",,3/26/2021,3/26/2021,5/12/2021,,5/29/2021,4/21/2021,,,?
MSKU6607722,GUDRUN MAERSK,,"Shanghai, Shanghai Shi, China","Shanghai, Shanghai Shi, China","Norfolk, Virginia, United States","Norfolk, Virginia, United States",3/28/2021,4/1/2021,5/8/2021,,5/25/2021,4/21/2021,,,?
OOCU6871514,CMA CGM CHAMPS ELYSEES,,"Shanghai, Shanghai Shi, China","Shanghai, Shanghai Shi, China","Rotterdam, Provincie Zuid-Holland, Netherlands","Rotterdam, Provincie Zuid-Holland, Netherlands",4/17/2021,4/23/2021,5/25/2021,5/25/2021,6/11/2021,4/21/2021,,,?
MRKU4070036,MSC BILBAO,,"Portsmouth, Virginia, United States","Norfolk, Virginia, United States","Qingdao, Shandong Sheng, China","Qingdao, Shandong Sheng, China",3/3/2021,3/3/2021,5/13/2021,,5/30/2021,4/21/2021,,,?
OOLU9573295,COSCO SHIPPING SOLAR,,"Qingdao, Shandong Sheng, China","Qingdao, Shandong Sheng, China","Buenos Aires, Ciudad Autonoma de Buenos Aires, Argentina","Puerto Nuevo, Buenos Aires, Argentina",2/7/2021,2/10/2021,3/30/2021,4/7/2021,4/11/2021,4/21/2021,,,?
TLLU4407686,VALPARAISO EXPRESS,,"Iquique, Region de Tarapaca, Chile","Iquique, Region de Tarapaca, Chile","Santo Domingo, Distrito Nacional, Dominican Republic",,11/13/2020,11/17/2020,12/11/2020,,12/28/2020,4/21/2021,,,?
EGHU9505470,,Axiom,,,,"Dallas, Texas, United States",,,,7/9/2021,7/9/2021,7/12/2021,Yes,7/8/2021,?
CAAU5821796,MSC VENICE,,"Yantian, Guangdong Sheng, China","Yantian, Guangdong Sheng, China","Los Angeles, California, United States","Dallas, Texas, United States",3/23/2021,3/24/2021,5/7/2021,5/13/2021,5/17/2021,7/12/2021,Yes,5/13/2021,?
OOLU8789438,COSCO SHIPPING DENALI,,"Long Beach, California, United States","Long Beach, California, United States","Haiphong, Thanh Pho Hai Phong, Vietnam","Haiphong, Thanh Pho Hai Phong, Vietnam",3/30/2021,4/7/2021,5/2/2021,5/3/2021,5/19/2021,4/21/2021,,,?
